Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,33.769,34.038,33.024,33.303,7081000,0.0,0.0
2021-01-05,33.437,34.092,33.347,33.859,4268000,0.0,0.0
2021-01-06,34.639,36.469,34.639,36.065,8198600,0.0,0.0
2021-01-07,36.576,36.809,36.191,36.675,5109700,0.0,0.0
2021-01-08,36.774,36.881,35.886,36.433,5344800,0.0,0.0
2021-01-11,35.805,36.585,35.617,36.128,3457000,0.0,0.0
2021-01-12,36.469,37.007,36.388,36.774,3975800,0.0,0.0
2021-01-13,36.496,36.881,36.262,36.522,3608400,0.0,0.0
2021-01-14,36.774,37.177,36.487,37.043,3984000,0.0,0.0
2021-01-15,36.666,37.231,36.352,37.088,7124400,0.0,0.0
2021-01-19,37.294,38.047,37.24,37.895,5159400,0.0,0.0
2021-01-20,37.877,38.182,37.671,37.742,6421300,0.0,0.0
2021-01-21,37.626,37.796,36.818,36.818,5608300,0.0,0.0
2021-01-22,36.352,36.711,35.841,35.948,4752300,0.0,0.0
2021-01-25,35.455,35.697,34.971,35.5,4084100,0.0,0.0
2021-01-26,35.76,35.823,34.989,35.078,3741300,0.0,0.0
2021-01-27,34.594,34.747,33.276,33.724,5772000,0.0,0.0
2021-01-28,34.137,34.917,34.02,34.513,5048200,0.0,0.0
2021-01-29,34.181,34.181,33.007,33.581,5291000,0.0,0.0
2021-02-01,33.841,34.002,33.069,33.563,3649500,0.0,0.0
2021-02-02,34.164,34.971,33.948,34.594,4878200,0.0,0.0
2021-02-03,34.558,35.294,34.513,34.935,4680700,0.0,0.0
2021-02-04,35.15,37.088,34.935,37.079,5088100,0.0,0.0
2021-02-05,37.509,37.608,36.935,37.383,3968200,0.0,0.0
2021-02-08,37.357,37.958,37.195,37.931,3899600,0.0,0.0
2021-02-09,37.778,38.128,37.446,37.796,3464700,0.0,0.0
2021-02-10,37.984,38.361,37.635,38.056,3705300,0.0,0.0
2021-02-11,37.966,38.146,37.034,37.312,3445600,0.0,0.0
2021-02-12,37.186,37.841,36.944,37.132,4154900,0.0,0.0
2021-02-16,37.437,38.236,37.231,37.805,4937300,0.0,0.0
2021-02-17,37.025,38.89,36.926,38.81,4872000,0.0,0.0
2021-02-18,38.083,38.567,37.213,37.769,4032600,0.0,0.0
2021-02-19,38.119,38.406,37.742,38.191,3664200,0.0,0.0
2021-02-22,38.119,39.778,38.083,39.554,6263200,0.0,0.0
2021-02-23,40.128,40.128,39.321,39.796,5021600,0.0,0.0
2021-02-24,39.922,41.222,39.877,40.747,4552800,0.0,0.0
2021-02-25,41.231,41.375,39.357,39.419,5388400,0.0,0.0
2021-02-26,40.361,40.585,39.132,39.419,6181100,0.0,0.0
2021-03-01,40.272,43.052,40.146,40.639,7864700,0.0,0.0
2021-03-02,40.594,41.509,40.559,41.222,4611100,0.0,0.0
2021-03-03,41.303,42.765,41.303,42.164,5633200,0.0,0.0
2021-03-04,42.317,42.675,40.343,41.5,4876400,0.0,0.0
2021-03-05,42.101,42.397,41.168,42.128,5327800,0.0,0.0
2021-03-08,42.702,43.249,42.281,42.37,5921200,0.0,0.0
2021-03-09,41.769,42.37,41.088,41.814,5638400,0.0,0.0
2021-03-10,42.128,43.061,41.886,42.917,3822600,0.0,0.0
2021-03-11,42.747,43.393,42.604,43.061,4514600,0.0,0.0
2021-03-12,43.805,43.877,43.312,43.447,3069500,0.0,0.0
2021-03-15,43.401,43.699,42.905,43.645,2994000,0.32,0.0
2021-03-16,43.284,43.347,42.327,42.733,4247300,0.0,0.0
2021-03-17,43.004,43.365,42.571,43.04,5361400,0.0,0.0
2021-03-18,43.411,44.241,43.104,43.176,5577600,0.0,0.0
2021-03-19,42.878,42.995,42.038,42.282,7285700,0.0,0.0
2021-03-22,42.038,42.119,41.37,41.74,4907000,0.0,0.0
2021-03-23,41.28,41.704,40.449,40.612,3497800,0.0,0.0
2021-03-24,41.171,41.668,40.585,40.621,3813500,0.0,0.0
2021-03-25,40.684,42.074,40.214,41.984,4707200,0.0,0.0
2021-03-26,42.472,42.706,41.722,42.273,3801800,0.0,0.0
2021-03-29,41.65,42.49,41.469,42.056,4409400,0.0,0.0
2021-03-30,42.408,42.95,42.074,42.742,3525300,0.0,0.0
2021-03-31,42.372,42.779,41.704,41.722,4318700,0.0,0.0
2021-04-01,41.524,41.921,41.424,41.876,3547700,0.0,0.0
2021-04-05,42.39,42.58,41.984,42.21,3437700,0.0,0.0
2021-04-06,42.165,42.472,41.749,42.128,3753100,0.0,0.0
2021-04-07,42.146,42.526,41.957,42.508,2719700,0.0,0.0
2021-04-08,41.984,42.029,41.343,41.587,3474900,0.0,0.0
2021-04-09,41.939,42.119,41.569,42.074,3141600,0.0,0.0
2021-04-12,42.165,42.643,42.083,42.58,3095300,0.0,0.0
2021-04-13,42.183,42.517,41.758,42.156,2958100,0.0,0.0
2021-04-14,42.074,43.167,42.074,42.878,3391100,0.0,0.0
2021-04-15,42.869,42.869,41.921,42.128,4451900,0.0,0.0
2021-04-16,42.535,43.058,42.309,42.526,4369100,0.0,0.0
2021-04-19,42.562,42.688,41.885,42.192,2809200,0.0,0.0
2021-04-20,41.957,42.119,40.837,41.108,4262000,0.0,0.0
2021-04-21,40.982,42.255,40.801,42.219,3682500,0.0,0.0
2021-04-22,42.146,42.616,41.794,41.948,4388500,0.0,0.0
2021-04-23,42.092,42.932,41.849,42.742,3242100,0.0,0.0
2021-04-26,43.04,43.835,42.842,42.914,3203500,0.0,0.0
2021-04-27,42.779,43.808,42.779,43.736,3580400,0.0,0.0
2021-04-28,43.763,43.997,43.365,43.528,2703400,0.0,0.0
2021-04-29,44.015,44.62,43.853,44.187,3800600,0.0,0.0
2021-04-30,43.934,44.322,43.618,43.745,3201200,0.0,0.0
2021-05-03,44.223,44.657,43.925,44.286,2585600,0.0,0.0
2021-05-04,44.151,44.512,43.69,43.699,6640800,0.0,0.0
2021-05-05,43.754,44.313,43.401,44.124,8786400,0.0,0.0
2021-05-06,44.241,45.46,43.943,45.298,5557800,0.0,0.0
2021-05-07,45.298,46.498,44.864,46.218,5582200,0.0,0.0
2021-05-10,46.336,47.582,46.318,46.878,6870100,0.0,0.0
2021-05-11,46.697,46.823,45.072,45.487,4646600,0.0,0.0
2021-05-12,46.056,46.083,45.072,45.216,5970600,0.0,0.0
2021-05-13,44.882,46.282,44.882,45.912,5064400,0.0,0.0
2021-05-14,46.047,46.86,45.912,46.86,4844800,0.0,0.0
2021-05-17,46.724,46.86,46.101,46.562,3247900,0.0,0.0
2021-05-18,46.426,46.688,46.119,46.146,3856100,0.0,0.0
2021-05-19,45.568,45.83,44.738,45.749,4145500,0.0,0.0
2021-05-20,45.776,45.975,45.171,45.623,3123500,0.0,0.0
2021-05-21,45.821,46.67,45.821,46.327,4198800,0.0,0.0
2021-05-24,46.498,46.941,46.318,46.841,2600700,0.0,0.0
2021-05-25,46.941,47.437,45.767,45.866,3569600,0.0,0.0
2021-05-26,46.291,46.516,45.794,46.381,2516500,0.0,0.0
2021-05-27,46.968,47.672,46.787,47.591,6287700,0.0,0.0
2021-05-28,47.69,47.79,46.896,47.708,3116300,0.0,0.0
2021-06-01,48.151,48.602,47.961,48.349,5278200,0.0,0.0
2021-06-02,48.728,48.828,47.871,47.889,4146700,0.0,0.0
2021-06-03,47.808,48.467,47.618,48.34,4030000,0.0,0.0
2021-06-04,48.295,48.295,47.699,48.232,2851700,0.0,0.0
2021-06-07,48.268,48.331,47.735,47.916,2460700,0.0,0.0
2021-06-08,47.555,48.196,47.212,48.06,2227500,0.0,0.0
2021-06-09,47.672,47.744,47.076,47.094,2946900,0.0,0.0
2021-06-10,47.771,47.943,46.516,46.562,2213500,0.0,0.0
2021-06-11,46.796,47.085,46.679,46.968,3521800,0.0,0.0
2021-06-14,46.841,47.14,46.196,46.423,3130900,0.32,0.0
2021-06-15,46.468,47.159,46.323,46.813,3705300,0.0,0.0
2021-06-16,46.659,47.222,46.196,46.95,4259200,0.0,0.0
2021-06-17,47.122,47.168,44.252,44.306,5797500,0.0,0.0
2021-06-18,43.47,43.679,42.544,42.562,10722200,0.0,0.0
2021-06-21,42.934,43.389,42.907,43.379,7422800,0.0,0.0
2021-06-22,43.361,43.461,42.716,43.198,3181400,0.0,0.0
2021-06-23,43.207,43.661,43.098,43.361,2896400,0.0,0.0
2021-06-24,43.425,44.006,43.216,43.797,2818000,0.0,0.0
2021-06-25,44.034,44.724,43.879,44.533,3276300,0.0,0.0
2021-06-28,44.361,44.479,43.234,43.57,2961600,0.0,0.0
2021-06-29,43.925,44.252,42.862,43.061,2742500,0.0,0.0
2021-06-30,42.871,43.37,42.871,43.243,2586800,0.0,0.0
2021-07-01,43.634,44.115,43.398,43.852,2888400,0.0,0.0
