Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,32.04,32.163,31.029,31.276,2088536,0.0,0.0
2021-01-05,31.12,32.237,31.12,32.016,1923930,0.0,0.0
2021-01-06,32.048,33.215,32.048,33.01,3108550,0.0,0.0
2021-01-07,33.519,34.004,33.191,33.774,2566224,0.0,0.0
2021-01-08,33.675,33.807,32.755,33.108,2339478,0.0,0.0
2021-01-11,32.607,33.207,32.459,33.018,1471006,0.0,0.0
2021-01-12,33.47,34.382,33.24,33.832,3581354,0.0,0.0
2021-01-13,33.749,34.021,32.829,32.993,2552365,0.0,0.0
2021-01-14,33.232,33.363,32.278,32.541,3203179,0.0,0.0
2021-01-15,32.147,32.336,31.243,31.72,5268768,0.0,0.0
2021-01-19,32.016,32.492,31.539,32.295,2696978,0.0,0.0
2021-01-20,32.878,33.626,32.5,33.593,2571222,0.0,0.0
2021-01-21,33.618,36.075,33.61,35.828,5209355,0.0,0.0
2021-01-22,35.607,35.705,34.851,35.171,2497496,0.0,0.0
2021-01-25,34.982,35.82,34.686,35.755,2493406,0.0,0.0
2021-01-26,36.198,36.732,35.697,36.124,3610662,0.0,0.0
2021-01-27,36.034,38.195,35.771,36.897,8995530,0.0,0.0
2021-01-28,36.806,37.02,34.547,34.851,3508763,0.0,0.0
2021-01-29,34.645,35.779,34.21,34.505,3106960,0.0,0.0
2021-02-01,34.686,34.941,34.086,34.579,3540571,0.0,0.0
2021-02-02,34.892,34.957,33.938,33.971,2276090,0.0,0.0
2021-02-03,34.037,35.163,33.708,35.089,2663693,0.0,0.0
2021-02-04,35.368,35.582,34.777,35.097,2312328,0.0,0.0
2021-02-05,35.508,35.598,34.834,35.418,2114210,0.0,0.0
2021-02-08,35.549,35.886,35.138,35.697,2771840,0.0,0.0
2021-02-09,35.483,35.598,35.015,35.261,1669806,0.0,0.0
2021-02-10,35.607,36.453,35.311,35.902,3187389,0.0,0.0
2021-02-11,37.39,37.595,34.259,35.204,4500264,0.0,0.0
2021-02-12,34.99,35.212,33.807,34.505,3055954,0.0,0.0
2021-02-16,36.157,36.469,35.056,35.976,4402227,0.0,0.0
2021-02-17,36.001,36.938,35.574,36.626,5542771,0.0,0.0
2021-02-18,36.33,36.568,35.311,35.385,2976774,0.0,0.0
2021-02-19,35.911,36.289,35.278,35.796,2813418,0.0,0.0
2021-02-22,35.541,36.732,35.5,36.683,2169533,0.0,0.0
2021-02-23,36.322,36.921,35.352,36.88,3369944,0.0,0.0
2021-02-24,37.061,37.957,36.946,37.801,3123773,0.0,0.0
2021-02-25,37.99,38.064,36.7,37.069,2151243,0.0,0.0
2021-02-26,37.243,37.548,36.195,37.119,3654171,0.15,0.0
2021-03-01,37.441,37.721,36.83,37.309,2094784,0.0,0.0
2021-03-02,37.408,38.661,37.152,38.125,2290971,0.0,0.0
