Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,118.684,118.684,114.53,114.7,1858100,0.0,0.0
2021-01-05,114.818,115.539,112.657,112.724,1614000,0.0,0.0
2021-01-06,112.021,112.606,110.266,112.004,1823800,0.0,0.0
2021-01-07,111.826,113.742,111.571,113.275,2187100,0.0,0.0
2021-01-08,113.191,114.369,111.919,113.267,2341500,0.0,0.0
2021-01-11,112.911,113.072,109.85,111.292,1917500,0.0,0.0
2021-01-12,111.054,111.843,110.257,111.495,1748700,0.0,0.0
2021-01-13,111.699,113.267,111.699,112.885,1272800,0.0,0.0
2021-01-14,112.707,113.784,111.597,113.14,1442200,0.0,0.0
2021-01-15,112.843,115.853,112.504,115.709,1762600,0.0,0.0
2021-01-19,118.015,118.066,116.217,116.989,1622100,0.0,0.0
2021-01-20,116.989,119.897,116.268,119.303,1814000,0.0,0.0
2021-01-21,118.701,119.999,117.964,119.727,1459500,0.0,0.0
2021-01-22,119.261,120.422,118.82,119.083,1109700,0.0,0.0
2021-01-25,119.575,121.872,119.21,120.923,1651800,0.0,0.0
2021-01-26,120.634,123.78,120.27,123.653,1167100,0.0,0.0
2021-01-27,123.237,126.908,122.084,126.467,2866100,0.0,0.0
2021-01-28,124.729,126.399,122.678,122.822,3027600,0.0,0.0
2021-01-29,121.94,124.95,120.261,122.042,3433600,0.0,0.0
2021-02-01,122.423,125.687,121.567,125.653,1954200,0.0,0.0
2021-02-02,126.323,127.536,125.391,125.993,1231100,0.0,0.0
2021-02-03,125.781,125.781,123.771,124.899,1283000,0.0,0.0
2021-02-04,124.746,124.916,121.118,122.974,2725400,0.0,0.0
2021-02-05,122.974,124.628,122.635,123.407,1478600,0.0,0.0
2021-02-08,122.949,124.339,122.262,124.093,1025400,0.0,0.0
2021-02-09,124.093,125.772,123.619,125.679,1220800,0.0,0.0
2021-02-10,126.747,127.137,123.831,125.077,801900,0.0,0.0
2021-02-11,124.789,126.111,122.033,122.779,1521700,0.0,0.0
2021-02-12,122.084,122.932,117.294,118.744,1957100,0.0,0.0
2021-02-16,119.397,119.422,115.132,116.319,2529600,0.0,0.0
2021-02-17,116.082,117.557,115.921,117.235,1203100,0.0,0.0
2021-02-18,116.709,117.845,116.26,116.946,1011900,0.0,0.0
2021-02-19,117.048,118.235,115.649,115.683,1446600,0.0,0.0
2021-02-22,114.92,117.048,114.03,116.658,1647200,0.0,0.0
2021-02-23,117.303,117.718,115.166,116.404,1776700,0.0,0.0
