Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,95.454,96.133,93.076,93.282,2079600,0.0,0.0
2021-01-05,93.081,94.641,92.675,93.8,2725000,0.0,0.0
2021-01-06,93.286,95.747,93.286,94.558,2098200,0.0,0.0
2021-01-07,95.864,99.367,95.37,98.795,2042000,0.0,0.0
2021-01-08,98.902,101.26,98.902,100.556,1281800,0.0,0.0
2021-01-11,99.881,100.781,98.799,98.98,1203600,0.0,0.0
2021-01-12,99.377,100.688,98.237,99.475,752000,0.0,0.0
2021-01-13,99.401,99.445,97.904,98.305,1079400,0.0,0.0
2021-01-14,100.316,102.615,99.25,101.51,1350200,0.0,0.0
2021-01-15,100.517,102.033,99.039,101.451,1554600,0.0,0.0
2021-01-19,101.862,104.391,101.461,101.51,1075000,0.0,0.0
2021-01-20,101.51,102.625,99.851,102.219,1578600,0.0,0.0
2021-01-21,102.728,103.701,101.568,101.612,1196600,0.0,0.0
2021-01-22,101.48,101.48,99.406,100.091,996400,0.0,0.0
2021-01-25,99.758,103.476,99.744,103.275,1216800,0.0,0.0
2021-01-26,103.73,103.975,101.055,101.524,1244200,0.0,0.0
2021-01-27,100.091,100.091,94.294,95.062,1511800,0.0,0.0
2021-01-28,95.537,98.071,94.959,97.356,1414400,0.0,0.0
2021-01-29,96.716,97.185,94.764,94.901,1480200,0.0,0.0
2021-02-01,96.373,97.753,95.121,97.396,1525800,0.0,0.0
2021-02-02,98.193,100.874,98.002,100.071,1000200,0.0,0.0
2021-02-03,100.189,100.771,96.672,96.735,1470600,0.0,0.0
2021-02-04,97.347,100.766,96.339,99.969,2493000,0.0,0.0
2021-02-05,101.436,103.686,100.57,102.459,1558200,0.0,0.0
2021-02-08,102.395,104.684,102.048,103.828,1263800,0.0,0.0
2021-02-09,103.726,105.814,103.54,105.428,1301200,0.0,0.0
2021-02-10,105.819,106.225,101.739,102.234,1861400,0.0,0.0
2021-02-11,103.09,103.412,100.252,101.769,1361200,0.0,0.0
2021-02-12,101.113,104.068,101.113,103.809,632400,0.0,0.0
2021-02-16,104.224,104.224,102.38,102.821,933400,0.0,0.0
2021-02-17,101.872,102.737,99.734,101.744,737400,0.0,0.0
2021-02-18,101.377,104.479,101.055,103.603,975200,0.0,0.0
2021-02-19,104.513,106.074,104.21,105.487,1269800,0.0,0.0
2021-02-22,104.821,104.958,102.992,103.589,962200,0.0,0.0
2021-02-23,102.728,104.048,101.27,103.52,1242200,0.0,0.0
2021-02-24,102.869,106.881,102.801,106.303,1274400,0.0,0.0
2021-02-25,106.44,107.932,105.081,105.433,1099800,0.0,0.0
2021-02-26,105.658,107.008,104.694,105.061,1445600,0.0,0.0
2021-03-01,106.494,108.617,106.127,107.972,1945800,0.0,0.0
2021-03-02,107.825,109.338,106.64,108.897,1272200,0.1,0.0
2021-03-03,108.941,111.213,107.599,109.068,1475200,0.0,0.0
2021-03-04,108.985,109.48,104.843,105.279,2063000,0.0,0.0
2021-03-05,106.561,109.108,103.687,107.644,2158800,0.0,0.0
2021-03-08,107.898,109.646,106.875,107.056,1503600,0.0,0.0
2021-03-09,108.799,110.87,108.554,109.587,1368200,0.0,0.0
2021-03-10,110.9,112.045,110.077,110.62,1279600,0.0,0.0
2021-03-11,111.046,112.922,110.493,112.452,908600,0.0,0.0
2021-03-12,112.628,115.14,112.084,114.479,1236200,0.0,0.0
2021-03-15,113.935,114.577,112.192,113.588,1018800,0.0,0.0
2021-03-16,114.572,114.709,111.81,112.114,824400,0.0,0.0
2021-03-17,111.394,113.588,110.464,111.595,1238800,0.0,0.0
2021-03-18,111.277,114.111,111.144,112.662,2018000,0.0,0.0
2021-03-19,111.884,113.994,110.777,112.912,2666200,0.0,0.0
2021-03-22,113.137,114.107,112.021,113.225,1564400,0.0,0.0
2021-03-23,113.338,114.944,112.902,113.421,1748200,0.0,0.0
2021-03-24,113.392,115.629,113.392,114.626,1644000,0.0,0.0
2021-03-25,114.567,114.567,111.756,113.475,1724400,0.0,0.0
2021-03-26,112.878,116.031,112.785,115.429,1384600,0.0,0.0
2021-03-29,115.624,116.721,114.175,115.228,1336400,0.0,0.0
2021-03-30,115.615,118.41,115.174,117.808,1691400,0.0,0.0
2021-03-31,117.779,119.228,116.442,117.71,1336200,0.0,0.0
2021-04-01,117.642,119.375,117.642,119.316,1058800,0.0,0.0
2021-04-05,120.433,121.769,119.747,120.594,1254800,0.0,0.0
2021-04-06,120.623,121.848,119.59,119.757,992000,0.0,0.0
2021-04-07,119.669,120.418,119.155,119.174,952800,0.0,0.0
2021-04-08,119.581,120.565,118.64,119.948,1139200,0.0,0.0
2021-04-09,121.284,122.949,121.098,122.053,1318400,0.0,0.0
2021-04-12,122.058,122.646,120.858,121.926,1343400,0.0,0.0
2021-04-13,122.327,122.327,120.271,121.588,1305000,0.0,0.0
2021-04-14,121.896,122.171,120.829,121.373,1034800,0.0,0.0
2021-04-15,121.955,123.076,121.04,122.45,1113400,0.0,0.0
2021-04-16,123.36,124.061,122.988,123.076,1512800,0.0,0.0
2021-04-19,123.062,123.096,120.942,121.382,1216800,0.0,0.0
2021-04-20,122.362,123.135,120.276,121.25,1200000,0.0,0.0
2021-04-21,121.236,122.455,120.002,120.79,2034200,0.0,0.0
2021-04-22,120.937,124.908,120.937,122.773,2113400,0.0,0.0
2021-04-23,123.733,126.94,123.733,126.205,1575400,0.0,0.0
2021-04-26,126.651,127.042,123.429,124.114,1251200,0.0,0.0
2021-04-27,124.81,126.646,124.413,126.499,1026600,0.0,0.0
2021-04-28,125.936,126.656,125.069,125.941,992200,0.0,0.0
2021-04-29,126.67,127.351,125.402,126.964,666000,0.0,0.0
2021-04-30,126.665,127.875,125.711,126.23,936600,0.0,0.0
2021-05-03,126.719,128.727,126.43,128.12,1039600,0.0,0.0
2021-05-04,127.459,130.049,127.326,129.628,1160800,0.0,0.0
2021-05-05,130.416,130.416,128.555,129.324,745600,0.0,0.0
2021-05-06,129.402,129.814,127.968,129.73,833000,0.0,0.0
2021-05-07,130.289,132.154,129.158,131.988,722000,0.0,0.0
2021-05-10,132.389,135.18,132.071,132.262,1138200,0.0,0.0
2021-05-11,130.901,131.219,128.027,129.329,1591000,0.0,0.0
2021-05-12,128.722,128.952,125.471,125.529,1745000,0.0,0.0
2021-05-13,125.578,129.515,125.578,129.246,1222200,0.0,0.0
2021-05-14,129.956,132.521,129.466,131.988,763600,0.0,0.0
2021-05-17,131.366,132.957,131.366,132.311,1010400,0.0,0.0
2021-05-18,132.546,132.908,129.677,129.76,1358600,0.0,0.0
2021-05-19,127.782,129.672,126.577,129.334,1562600,0.0,0.0
2021-05-20,130.176,130.881,129.466,129.554,898400,0.0,0.0
2021-05-21,129.73,130.959,128.565,128.741,1484400,0.0,0.0
2021-05-24,129.388,129.872,128.369,129.598,1581800,0.0,0.0
2021-05-25,130.093,131.464,127.747,127.953,1415400,0.0,0.0
2021-05-26,128.129,128.976,126.616,128.609,1117800,0.0,0.0
2021-05-27,128.213,131.425,128.129,129.417,5651000,0.0,0.0
2021-05-28,129.603,130.166,128.193,129.97,1233200,0.0,0.0
2021-06-01,131.622,131.93,130.794,131.244,1271000,0.1,0.0
2021-06-02,131.754,131.847,128.309,129.074,1396600,0.0,0.0
2021-06-03,128.574,130.431,127.148,129.446,1731200,0.0,0.0
2021-06-04,130.014,130.294,125.458,127.53,1443200,0.0,0.0
2021-06-07,128.152,128.353,123.649,124.6,1704200,0.0,0.0
2021-06-08,125.066,125.634,123.605,125.144,1393800,0.0,0.0
2021-06-09,125.222,125.516,122.111,122.385,2082800,0.0,0.0
2021-06-10,123.218,123.434,121.327,121.719,1385400,0.0,0.0
2021-06-11,122.086,123.605,122.086,123.003,1315000,0.0,0.0
2021-06-14,123.478,124.1,122.018,122.562,1062000,0.0,0.0
2021-06-15,122.968,124.669,122.41,124.169,1033800,0.0,0.0
2021-06-16,124.272,124.384,122.562,123.694,934200,0.0,0.0
2021-06-17,123.762,124.135,120.484,122.101,1083000,0.0,0.0
2021-06-18,120.92,121.881,120.322,120.71,1751200,0.0,0.0
2021-06-21,121.596,123.512,121.248,123.184,995000,0.0,0.0
2021-06-22,123.493,125.232,122.963,123.934,993000,0.0,0.0
2021-06-23,123.894,125.017,123.071,123.948,642200,0.0,0.0
2021-06-24,124.639,125.32,123.155,123.527,1045800,0.0,0.0
2021-06-25,123.659,125.413,123.395,124.267,2427600,0.0,0.0
2021-06-28,124.179,125.296,123.042,125.232,1065200,0.0,0.0
2021-06-29,125.08,125.663,124.497,124.963,1208800,0.0,0.0
2021-06-30,124.899,125.389,124.012,124.36,1778200,0.0,0.0
2021-07-01,124.527,126.717,124.139,126.418,1513400,0.0,0.0
2021-07-02,126.962,127.207,126.114,126.418,981000,0.0,0.0
2021-07-06,126.359,126.839,123.233,124.718,1382400,0.0,0.0
2021-07-07,125.066,127.197,124.723,126.991,1305000,0.0,0.0
2021-07-08,125.262,126.928,123.223,125.654,1200200,0.0,0.0
2021-07-09,127.089,127.952,126.339,127.682,1277400,0.0,0.0
2021-07-12,127.261,127.687,125.467,126.232,1311600,0.0,0.0
2021-07-13,126.962,127.07,125.35,126.212,1004400,0.0,0.0
2021-07-14,126.428,127.422,125.413,126.79,996200,0.0,0.0
2021-07-15,125.698,128.054,125.252,126.815,826600,0.0,0.0
2021-07-16,126.82,127.418,124.193,124.429,1499600,0.0,0.0
2021-07-19,122.763,122.959,120.871,122.571,1166400,0.0,0.0
2021-07-20,122.89,125.09,122.522,123.988,1144400,0.0,0.0
2021-07-21,124.443,124.894,122.929,124.659,865600,0.0,0.0
2021-07-22,125.08,125.649,124.556,125.115,580600,0.0,0.0
2021-07-23,125.198,128.133,124.669,127.927,833600,0.0,0.0
2021-07-26,127.966,128.902,126.501,126.8,900600,0.0,0.0
2021-07-27,126.3,128.598,125.6,127.04,1573600,0.0,0.0
2021-07-28,124.193,127.074,122.645,126.923,1652000,0.0,0.0
2021-07-29,127.829,133.954,127.275,131.313,1346200,0.0,0.0
2021-07-30,130.911,132.205,130.186,131.881,1014000,0.0,0.0
2021-08-02,131.916,132.494,130.495,130.725,885400,0.0,0.0
2021-08-03,130.088,134.228,130.0,134.17,1061400,0.0,0.0
2021-08-04,134.253,134.322,132.161,132.474,979600,0.0,0.0
2021-08-05,133.229,134.645,132.734,133.371,776800,0.0,0.0
2021-08-06,133.753,134.199,132.886,133.631,525800,0.0,0.0
2021-08-09,133.719,133.876,132.259,133.371,585800,0.0,0.0
2021-08-10,133.616,134.954,133.155,133.479,829800,0.0,0.0
2021-08-11,133.538,135.522,133.278,135.399,824200,0.0,0.0
2021-08-12,135.007,137.276,135.007,136.732,635600,0.0,0.0
2021-08-13,136.61,138.021,136.002,137.688,658400,0.0,0.0
2021-08-16,136.923,138.104,135.733,138.021,683400,0.0,0.0
2021-08-17,137.614,137.614,134.851,137.1,667800,0.0,0.0
2021-08-18,136.384,138.246,135.248,135.468,1126800,0.0,0.0
2021-08-19,134.272,137.114,133.636,136.958,1001200,0.0,0.0
2021-08-20,137.139,139.153,136.86,138.428,783800,0.0,0.0
2021-08-23,138.854,140.593,138.599,139.226,710400,0.0,0.0
2021-08-24,139.785,140.667,139.114,139.907,533200,0.0,0.0
2021-08-25,139.525,140.809,139.515,140.167,701000,0.0,0.0
