Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,19.991,20.262,19.547,19.873,8743400,0.0,0.0
2021-01-05,20.117,21.557,20.108,20.941,16256600,0.0,0.0
2021-01-06,21.693,22.662,21.467,22.1,19456300,0.0,0.0
2021-01-07,22.218,23.06,22.155,22.526,14502400,0.0,0.0
2021-01-08,22.634,22.969,22.164,22.49,11951900,0.0,0.0
2021-01-11,21.91,22.743,21.774,22.625,16877000,0.0,0.0
2021-01-12,23.087,24.201,22.788,23.667,20803200,0.0,0.0
2021-01-13,23.703,23.947,22.861,23.051,11276800,0.0,0.0
2021-01-14,23.114,23.884,23.042,23.504,10285800,0.0,0.0
2021-01-15,23.042,23.259,22.309,22.553,13449000,0.0,0.0
2021-01-19,22.816,23.449,22.734,23.015,21249400,0.0,0.0
2021-01-20,23.132,23.25,22.562,22.951,10571800,0.0,0.0
2021-01-21,22.743,22.933,21.684,21.901,21086200,0.0,0.0
2021-01-22,21.467,22.209,21.231,22.1,13559500,0.0,0.0
2021-01-25,22.064,22.064,21.014,21.494,15541000,0.0,0.0
2021-01-26,21.792,22.082,20.579,20.588,20225800,0.0,0.0
2021-01-27,20.326,20.48,19.221,19.746,17044000,0.0,0.0
2021-01-28,20.027,20.778,19.891,20.498,12418200,0.0,0.0
2021-01-29,20.28,20.67,19.918,20.108,15573600,0.0,0.0
2021-02-01,20.371,20.443,19.737,20.063,10081500,0.0,0.0
2021-02-02,20.597,20.905,20.235,20.38,11058000,0.0,0.0
2021-02-03,20.552,21.955,20.498,21.892,15843700,0.0,0.0
2021-02-04,22.037,22.589,21.494,22.462,12894700,0.0,0.0
2021-02-05,22.843,23.223,22.508,22.643,11370200,0.0,0.0
2021-02-08,23.042,23.694,22.942,23.531,11496300,0.0,0.0
2021-02-09,23.313,23.811,23.024,23.54,10799800,0.0,0.0
2021-02-10,23.757,24.201,23.513,24.101,11602000,0.0,0.0
2021-02-11,23.893,24.246,23.485,23.875,9773300,0.0,0.0
2021-02-12,23.594,24.255,23.495,24.237,9063400,0.0,0.0
2021-02-16,24.56,25.06,24.378,24.387,14337900,0.125,0.0
2021-02-17,24.696,24.696,23.969,24.442,11554300,0.0,0.0
2021-02-18,24.196,24.323,23.241,23.268,11173100,0.0,0.0
2021-02-19,23.323,24.05,23.25,23.759,10063700,0.0,0.0
2021-02-22,23.65,25.633,23.632,25.051,13964700,0.0,0.0
2021-02-23,25.251,25.379,24.005,25.233,13549000,0.0,0.0
2021-02-24,25.542,26.998,25.26,26.752,21674000,0.0,0.0
2021-02-25,26.743,27.171,25.651,25.933,20387400,0.0,0.0
2021-02-26,25.306,25.788,24.141,25.388,22478700,0.0,0.0
2021-03-01,26.161,26.47,25.806,26.124,17121600,0.0,0.0
2021-03-02,26.152,26.561,25.579,25.597,13582700,0.0,0.0
2021-03-03,25.779,26.397,25.761,25.806,20695600,0.0,0.0
2021-03-04,26.106,26.661,25.169,25.997,21586700,0.0,0.0
2021-03-05,26.989,27.025,25.388,26.443,26809000,0.0,0.0
2021-03-08,26.707,27.352,26.197,27.025,14971200,0.0,0.0
